DATE,ALLLCBW027SBOG
1989-09-27,41.0629
1989-10-04,46.1442
1989-10-11,46.9385
1989-10-18,47.5233
1989-10-25,47.6611
1989-11-01,47.3896
1989-11-08,47.0313
1989-11-15,47.0502
1989-11-22,46.9152
1989-11-29,46.7939
1989-12-06,46.8669
1989-12-13,47.103
1989-12-20,47.0982
1989-12-27,47.0736
1990-01-03,47.1127
1990-01-10,46.6898
1990-01-17,46.6568
1990-01-24,47.0266
1990-01-31,46.7134
1990-02-07,46.5839
1990-02-14,46.6506
1990-02-21,46.6941
1990-02-28,46.487
1990-03-07,46.3438
1990-03-14,46.4321
1990-03-21,46.5006
1990-03-28,46.4799
1990-04-04,45.9066
1990-04-11,46.1343
1990-04-18,46.1208
1990-04-25,46.2699
1990-05-02,46.0663
1990-05-09,46.0469
1990-05-16,46.1518
1990-05-23,46.2756
1990-05-30,45.7257
1990-06-06,45.476
1990-06-13,45.6461
1990-06-20,45.7677
1990-06-27,45.6373
1990-07-04,44.3762
1990-07-11,44.7466
1990-07-18,44.7986
1990-07-25,44.9655
1990-08-01,44.7336
1990-08-08,44.5436
1990-08-15,44.3905
1990-08-22,44.2889
1990-08-29,44.3537
1990-09-05,44.0502
1990-09-12,43.9165
1990-09-19,43.9872
1990-09-26,44.232
1990-10-03,44.0665
1990-10-10,44.762
1990-10-17,45.6018
1990-10-24,45.7796
1990-10-31,46.1076
1990-11-07,45.7682
1990-11-14,45.7702
1990-11-21,45.8209
1990-11-28,45.7983
1990-12-05,45.7247
1990-12-12,45.7591
1990-12-19,45.7596
1990-12-26,45.8786
1991-01-02,46.6748
1991-01-09,47.3649
1991-01-16,47.5422
1991-01-23,47.7653
1991-01-30,47.6491
1991-02-06,47.5738
1991-02-13,46.567
1991-02-20,46.5409
1991-02-27,46.4576
1991-03-06,46.5045
1991-03-13,46.5368
1991-03-20,46.504
1991-03-27,46.7341
1991-04-03,46.9117
1991-04-10,47.1827
1991-04-17,47.2486
1991-04-24,47.4629
1991-05-01,47.547
1991-05-08,47.1368
1991-05-15,46.5704
1991-05-22,46.5485
1991-05-29,46.3046
1991-06-05,46.3523
1991-06-12,46.5947
1991-06-19,46.6459
1991-06-26,46.5028
1991-07-03,46.0516
1991-07-10,46.7536
1991-07-17,46.7461
1991-07-24,46.9656
1991-07-31,47.2069
1991-08-07,47.1532
1991-08-14,47.0169
1991-08-21,46.9389
1991-08-28,46.8489
1991-09-04,47.1326
1991-09-11,47.1394
1991-09-18,47.184
1991-09-25,46.9917
1991-10-02,47.2608
1991-10-09,46.9032
1991-10-16,46.5563
1991-10-23,46.5899
1991-10-30,46.5936
1991-11-06,46.6916
1991-11-13,46.4851
1991-11-20,46.4683
1991-11-27,46.2628
1991-12-04,46.5127
1991-12-11,46.6127
1991-12-18,46.528
1991-12-25,46.3095
1992-01-01,46.6802
1992-01-08,46.7779
1992-01-15,46.7937
1992-01-22,46.7484
1992-01-29,46.5786
1992-02-05,46.7844
1992-02-12,46.8613
1992-02-19,46.857
1992-02-26,46.6991
1992-03-04,46.969
1992-03-11,46.9649
1992-03-18,46.8653
1992-03-25,46.8632
1992-04-01,46.8725
1992-04-08,47.0429
1992-04-15,47.3232
1992-04-22,46.8038
1992-04-29,46.6662
1992-05-06,46.9966
1992-05-13,47.0529
1992-05-20,47.0893
1992-05-27,46.9837
1992-06-03,47.1033
1992-06-10,47.2955
1992-06-17,47.3367
1992-06-24,47.1918
1992-07-01,46.8547
1992-07-08,47.3541
1992-07-15,47.4202
1992-07-22,47.4494
1992-07-29,47.351
1992-08-05,47.5263
1992-08-12,47.5736
1992-08-19,47.5331
1992-08-26,47.3885
1992-09-02,47.0065
1992-09-09,47.1213
1992-09-16,47.0981
1992-09-23,47.2241
1992-09-30,46.5535
1992-10-07,46.6487
1992-10-14,47.0281
1992-10-21,47.1688
1992-10-28,47.1977
1992-11-04,47.13
1992-11-11,46.9602
1992-11-18,46.9967
1992-11-25,46.8574
1992-12-02,46.8221
1992-12-09,46.8353
1992-12-16,46.891
1992-12-23,46.7418
1992-12-30,46.3422
1993-01-06,46.434
1993-01-13,46.561
1993-01-20,46.4408
1993-01-27,46.3241
1993-02-03,46.4316
1993-02-10,46.3845
1993-02-17,46.363
1993-02-24,46.3968
1993-03-03,46.4352
1993-03-10,46.2502
1993-03-17,46.2813
1993-03-24,46.3235
1993-03-31,46.2214
1993-04-07,46.2392
1993-04-14,46.2131
1993-04-21,46.1769
1993-04-28,46.0912
1993-05-05,46.1714
1993-05-12,46.082
1993-05-19,46.1414
1993-05-26,46.0913
1993-06-02,46.1952
1993-06-09,46.2168
1993-06-16,46.2653
1993-06-23,46.1226
1993-06-30,45.7702
1993-07-07,45.841
